_id,販売年,品名,産地,数量（Kg）,金額（円）,平均単価（円/Kg）
1,2000,まぐろ,北海道,"2,613","8,597,736","3,290"
2,2000,まぐろ,岩手,"2,851","7,381,023","2,589"
3,2000,まぐろ,宮城,"89,078","136,271,046","1,530"
4,2000,まぐろ,福島,162,"340,788","2,104"
5,2000,まぐろ,埼玉,"5,467","21,178,080","3,874"
6,2000,まぐろ,千葉,"49,570","143,860,258","2,902"
7,2000,まぐろ,東京,"168,088","603,507,253","3,590"
8,2000,まぐろ,神奈川,"1,257","3,760,439","2,992"
9,2000,まぐろ,富山,"1,242","3,511,298","2,827"
10,2000,まぐろ,石川,"18,227","20,079,871","1,102"
11,2000,まぐろ,福井,"6,078","20,286,242","3,338"
12,2000,まぐろ,岐阜,250,"143,640",575
13,2000,まぐろ,静岡,"46,358","106,822,104","2,304"
14,2000,まぐろ,愛知,"19,635","42,944,494","2,187"
15,2000,まぐろ,三重,"9,614","14,345,850","1,492"
16,2000,まぐろ,京都,"10,071","27,775,218","2,758"
17,2000,まぐろ,大阪,"32,369","52,510,777","1,622"
18,2000,まぐろ,和歌山,"18,207","49,080,926","2,696"
19,2000,まぐろ,鳥取,"7,023","9,951,595","1,417"
20,2000,まぐろ,島根,711,"2,398,568","3,374"
21,2000,まぐろ,山口,3,"2,100",700
22,2000,まぐろ,高知,"7,749","20,736,104","2,676"
23,2000,まぐろ,福岡,"2,436","3,939,390","1,617"
24,2000,まぐろ,長崎,29,"35,910","1,238"
25,2000,まぐろ,熊本,633,"1,655,273","2,615"
26,2000,まぐろ,宮崎,"1,603","5,530,520","3,450"
27,2000,まぐろ,沖縄,"1,663","4,096,523","2,463"
28,2000,めじ,北海道,"6,240","8,327,077","1,334"
29,2000,めじ,青森,"10,222","15,991,978","1,564"
30,2000,めじ,岩手,"7,284","9,262,259","1,272"
31,2000,めじ,宮城,"30,941","34,177,428","1,105"
32,2000,めじ,福島,451,"674,682","1,496"
33,2000,めじ,茨城,"1,553","2,325,848","1,498"
34,2000,めじ,千葉,"3,397","1,375,190",405
35,2000,めじ,東京,110,"57,750",525
36,2000,めじ,神奈川,85,"54,904",646
37,2000,めじ,新潟,"2,310","4,758,090","2,060"
38,2000,めじ,富山,"2,199","999,184",454
39,2000,めじ,石川,"18,122","13,955,136",770
40,2000,めじ,福井,"7,076","8,785,498","1,242"
41,2000,めじ,静岡,"4,138","1,560,031",377
42,2000,めじ,三重,"7,126","3,816,776",536
43,2000,めじ,京都,"6,456","5,642,754",874
44,2000,めじ,大阪,109,"114,345","1,049"
45,2000,めじ,兵庫,291,"279,911",962
46,2000,めじ,和歌山,245,"136,577",557
47,2000,めじ,鳥取,"9,845","5,392,610",548
48,2000,めじ,島根,"103,868","66,104,929",636
49,2000,めじ,山口,"7,682","2,966,240",386
50,2000,めじ,徳島,400,"178,794",447
51,2000,めじ,高知,"1,323","995,077",752
52,2000,めじ,福岡,"50,682","30,023,798",592
53,2000,めじ,佐賀,675,"529,705",785
54,2000,めじ,長崎,"148,036","87,343,327",590
55,2000,めじ,宮崎,187,"239,177","1,279"
56,2000,まかじき,岩手,"66,339","57,777,353",871
57,2000,まかじき,宮城,"89,512","75,436,730",843
58,2000,まかじき,千葉,"52,824","53,688,502","1,016"
59,2000,まかじき,東京,"170,039","199,355,024","1,172"
60,2000,まかじき,神奈川,363,"401,724","1,107"
61,2000,まかじき,富山,21,"2,079",99
62,2000,まかじき,石川,"26,651","8,114,947",304
63,2000,まかじき,福井,73,"45,801",627
64,2000,まかじき,静岡,"1,591","1,367,401",859
65,2000,まかじき,愛知,"4,552","4,468,748",982
66,2000,まかじき,三重,"2,454","2,592,305","1,056"
67,2000,まかじき,大阪,"121,047","135,455,070","1,119"
68,2000,まかじき,和歌山,"44,780","48,674,152","1,087"
69,2000,まかじき,高知,"3,621","5,038,384","1,391"
70,2000,まかじき,長崎,784,"442,938",565
71,2000,まかじき,宮崎,"15,966","25,479,403","1,596"
72,2000,まかじき,鹿児島,222,"143,795",648
73,2000,まかじき,沖縄,"2,291","3,396,426","1,483"
74,2000,黒皮かじき,岩手,378,"135,980",360
75,2000,黒皮かじき,宮城,"27,185","13,812,294",508
76,2000,黒皮かじき,千葉,"3,113","1,967,972",632
77,2000,黒皮かじき,東京,"31,071","21,320,289",686
78,2000,黒皮かじき,石川,"2,753","793,627",288
79,2000,黒皮かじき,静岡,"2,360","1,335,965",566
80,2000,黒皮かじき,愛知,"3,078","2,147,582",698
81,2000,黒皮かじき,三重,"13,899","7,981,890",574
82,2000,黒皮かじき,大阪,"13,516","10,609,844",785
83,2000,黒皮かじき,和歌山,"59,964","29,828,710",497
84,2000,黒皮かじき,高知,"2,072","1,661,586",802
85,2000,黒皮かじき,宮崎,139,"97,787",704
86,2000,黒皮かじき,沖縄,794,"313,458",395
87,2000,白皮かじき,北海道,387,"485,853","1,255"
88,2000,白皮かじき,青森,162,"107,548",664
89,2000,白皮かじき,岩手,"1,267","1,483,502","1,171"
90,2000,白皮かじき,宮城,"2,725","2,950,159","1,083"
91,2000,白皮かじき,茨城,175,"144,895",828
92,2000,白皮かじき,千葉,"4,745","3,772,848",795
93,2000,白皮かじき,東京,"18,679","11,409,890",611
94,2000,白皮かじき,神奈川,384,"78,962",206
95,2000,白皮かじき,新潟,942,"1,087,946","1,155"
96,2000,白皮かじき,石川,"7,110","2,863,941",403
97,2000,白皮かじき,福井,"2,447","3,644,448","1,489"
98,2000,白皮かじき,静岡,"1,155","1,291,009","1,118"
99,2000,白皮かじき,愛知,"11,250","8,081,234",718
100,2000,白皮かじき,三重,"3,140","3,722,834","1,186"
101,2000,白皮かじき,大阪,"82,327","98,824,990","1,200"
102,2000,白皮かじき,和歌山,"1,716","1,113,084",649
103,2000,白皮かじき,鳥取,466,"654,804","1,405"
104,2000,白皮かじき,島根,"1,291","2,439,491","1,890"
105,2000,白皮かじき,山口,985,"854,051",867
106,2000,白皮かじき,高知,"6,021","11,348,431","1,885"
107,2000,白皮かじき,長崎,715,"935,157","1,308"
108,2000,かつお,宮城,"102,918","39,808,651",387
109,2000,かつお,千葉,"32,697","10,241,734",313
110,2000,かつお,富山,340,"48,957",144
111,2000,かつお,石川,"6,549","1,374,526",210
112,2000,かつお,福井,"2,152","525,072",244
113,2000,かつお,静岡,"49,799","20,717,408",416
114,2000,かつお,三重,"57,949","21,343,998",368
115,2000,かつお,和歌山,"7,712","6,515,331",845
116,2000,かつお,島根,"12,952","4,610,359",356
117,2000,かつお,徳島,478,"140,843",295
118,2000,かつお,高知,"1,460","489,509",335
119,2000,かつお,長崎,"4,130","561,695",136
120,2000,かつお,宮崎,"1,439","983,392",683
121,2000,さけ,北海道,"162,441","75,277,202",463
122,2000,さけ,青森,"64,238","26,336,570",410
123,2000,さけ,岩手,"10,500","4,358,785",415
124,2000,さけ,宮城,"309,945","194,361,117",627
125,2000,さけ,福島,325,"60,375",186
126,2000,さけ,茨城,500,"183,750",368
127,2000,さけ,千葉,"34,730","28,497,172",821
128,2000,さけ,東京,"207,880","166,446,885",801
129,2000,さけ,新潟,"4,600","901,224",196
130,2000,さけ,富山,269,"196,781",732
131,2000,さけ,石川,"23,825","15,941,697",669
132,2000,さけ,福井,"121,477","116,325,051",958
133,2000,さけ,静岡,"34,312","28,269,917",824
134,2000,さけ,愛知,"16,190","12,120,093",749
135,2000,さけ,三重,"21,906","15,793,052",721
136,2000,さけ,京都,"10,796","9,368,952",868
137,2000,さけ,大阪,14,"4,200",300
138,2000,さけ,兵庫,73,"44,086",604
139,2000,さけ,愛媛,155,"112,792",728
140,2000,さけ,福岡,"11,471","8,669,492",756
141,2000,ます,北海道,"16,467","7,012,261",426
142,2000,ます,青森,"5,957","4,065,916",683
143,2000,ます,岩手,890,"1,459,993","1,640"
144,2000,ます,宮城,"2,513","2,349,190",935
145,2000,ます,新潟,580,"627,952","1,083"
146,2000,ます,石川,"1,514","1,759,934","1,162"
147,2000,ます,福井,18,"17,021",946
148,2000,ます,岐阜,740,"1,175,013","1,588"
149,2000,ます,静岡,"2,314","949,095",410
150,2000,ます,三重,103,"173,085","1,680"
151,2000,まいわし,北海道,339,"131,093",387
152,2000,まいわし,青森,"16,915","7,102,096",420
153,2000,まいわし,岩手,"4,378","2,582,895",590
154,2000,まいわし,宮城,"86,673","32,404,223",374
155,2000,まいわし,秋田,"10,672","4,003,545",375
156,2000,まいわし,福島,"19,095","5,037,638",264
157,2000,まいわし,茨城,"200,136","66,584,544",333
158,2000,まいわし,千葉,"448,143","132,372,016",295
159,2000,まいわし,神奈川,"161,302","59,188,921",367
160,2000,まいわし,新潟,"14,920","4,860,030",326
161,2000,まいわし,富山,"12,980","4,457,518",343
162,2000,まいわし,石川,"102,002","36,709,488",360
163,2000,まいわし,福井,493,"387,660",786
164,2000,まいわし,静岡,"103,106","31,366,232",304
165,2000,まいわし,愛知,"17,000","4,754,925",280
166,2000,まいわし,三重,"96,546","25,559,628",265
167,2000,まいわし,大阪,"4,500","1,211,490",269
168,2000,まいわし,兵庫,"5,816","2,507,820",431
169,2000,まいわし,和歌山,"13,451","6,671,599",496
170,2000,まいわし,鳥取,"48,995","23,585,039",481
171,2000,まいわし,島根,"2,765","887,775",321
172,2000,まいわし,徳島,"30,987","11,105,116",358
173,2000,まいわし,愛媛,"2,433","2,245,950",923
174,2000,まいわし,高知,"19,113","6,538,140",342
175,2000,まいわし,福岡,162,"386,928","2,388"
176,2000,うるめいわし,青森,20,"4,200",210
177,2000,うるめいわし,宮城,228,"39,900",175
178,2000,うるめいわし,福島,"1,103","108,360",98
179,2000,うるめいわし,千葉,"3,764","725,130",193
180,2000,うるめいわし,富山,228,"27,720",122
181,2000,うるめいわし,石川,"5,447","855,942",157
182,2000,うるめいわし,福井,108,"24,675",228
183,2000,うるめいわし,静岡,"3,003","756,756",252
184,2000,うるめいわし,三重,333,"34,335",103
185,2000,うるめいわし,和歌山,"21,919","3,276,421",149
186,2000,うるめいわし,鳥取,"1,040","255,675",246
187,2000,うるめいわし,長崎,"1,754","351,750",201
188,2000,かたくちいわし,宮城,"1,754","643,545",367
189,2000,かたくちいわし,茨城,150,"15,750",105
190,2000,かたくちいわし,富山,"4,586","574,436",125
191,2000,かたくちいわし,石川,"19,764","2,976,782",151
192,2000,かたくちいわし,福井,729,"66,045",91
193,2000,かたくちいわし,愛知,300,"73,500",245
194,2000,かたくちいわし,三重,"21,993","3,693,066",168
195,2000,かたくちいわし,鳥取,150,"26,250",175
196,2000,かたくちいわし,山口,1,"4,200","4,200"
197,2000,まあじ,青森,"2,334","263,561",113
198,2000,まあじ,岩手,"2,318","679,037",293
199,2000,まあじ,宮城,"2,582","696,885",270
200,2000,まあじ,秋田,"6,983","1,221,045",175
201,2000,まあじ,福島,"4,763","1,050,263",221
202,2000,まあじ,茨城,"11,501","2,946,878",256
203,2000,まあじ,千葉,"69,785","20,423,760",293
204,2000,まあじ,東京,"1,159","3,856,965","3,328"
205,2000,まあじ,神奈川,"1,022","433,440",424
206,2000,まあじ,新潟,"49,471","12,139,631",245
207,2000,まあじ,富山,"111,041","22,307,422",201
208,2000,まあじ,石川,"832,504","275,606,201",331
209,2000,まあじ,福井,"36,772","18,030,304",490
210,2000,まあじ,静岡,"100,663","47,736,625",474
211,2000,まあじ,愛知,471,"87,573",186
212,2000,まあじ,三重,"65,568","22,987,658",351
213,2000,まあじ,京都,"38,163","17,001,877",446
214,2000,まあじ,大阪,"1,798","127,680",71
215,2000,まあじ,兵庫,"3,699","946,104",256
216,2000,まあじ,和歌山,"44,264","12,685,839",287
217,2000,まあじ,鳥取,"91,328","40,826,023",447
218,2000,まあじ,島根,"62,312","33,742,329",542
219,2000,まあじ,岡山,12,840,70
220,2000,まあじ,広島,9,"9,450","1,050"
221,2000,まあじ,山口,"80,301","61,389,418",764
222,2000,まあじ,徳島,"32,996","13,062,735",396
223,2000,まあじ,愛媛,"61,254","47,219,448",771
224,2000,まあじ,高知,"24,277","20,841,293",858
225,2000,まあじ,福岡,"9,548","4,034,364",423
226,2000,まあじ,佐賀,10,"15,540","1,554"
227,2000,まあじ,長崎,"120,111","58,880,497",490
228,2000,まあじ,熊本,"3,459","2,673,552",773
229,2000,まあじ,大分,"26,377","17,120,823",649
230,2000,まあじ,宮崎,"21,216","26,944,995","1,270"
231,2000,まあじ,鹿児島,"1,486","1,582,456","1,065"
232,2000,その他あじ,福島,3,945,315
233,2000,その他あじ,東京,204,"53,645",263
234,2000,その他あじ,神奈川,"1,661","3,255,796","1,960"
235,2000,その他あじ,新潟,169,"18,323",108
236,2000,その他あじ,富山,840,"240,984",287
237,2000,その他あじ,石川,"4,023","1,858,798",462
238,2000,その他あじ,福井,"2,225","1,264,737",568
239,2000,その他あじ,静岡,"2,569","903,473",352
240,2000,その他あじ,愛知,454,"54,390",120
241,2000,その他あじ,三重,"14,415","23,205,730","1,610"
242,2000,その他あじ,和歌山,"7,019","650,622",93
243,2000,その他あじ,島根,17,"1,628",96
244,2000,その他あじ,山口,"2,241","345,340",154
245,2000,その他あじ,香川,139,"195,795","1,409"
246,2000,その他あじ,愛媛,"10,749","18,336,922","1,706"
247,2000,その他あじ,高知,"1,049","485,785",463
248,2000,その他あじ,熊本,156,"52,942",339
249,2000,その他あじ,鹿児島,"11,131","16,070,004","1,444"
250,2000,さば,北海道,"11,710","5,409,495",462
251,2000,さば,青森,"15,343","8,836,065",576
252,2000,さば,岩手,"21,383","12,079,358",565
253,2000,さば,宮城,"230,080","104,846,131",456
254,2000,さば,秋田,"145,269","43,701,318",301
255,2000,さば,福島,"6,129","2,622,375",428
256,2000,さば,茨城,"26,143","8,632,943",330
257,2000,さば,千葉,"204,759","75,907,027",371
258,2000,さば,神奈川,"2,745","1,024,275",373
259,2000,さば,新潟,"173,865","39,937,278",230
260,2000,さば,富山,"15,240","4,021,168",264
261,2000,さば,石川,"408,087","134,857,770",330
262,2000,さば,福井,"13,802","2,649,570",192
263,2000,さば,静岡,"51,185","17,691,871",346
264,2000,さば,愛知,"16,269","3,809,925",234
265,2000,さば,三重,"80,180","24,899,177",311
266,2000,さば,京都,"7,327","1,844,222",252
267,2000,さば,兵庫,"41,903","14,908,950",356
268,2000,さば,和歌山,"19,458","7,037,415",362
269,2000,さば,鳥取,"48,803","14,907,955",305
270,2000,さば,島根,"25,512","10,579,695",415
271,2000,さば,岡山,240,"75,600",315
272,2000,さば,広島,"5,564","2,155,650",387
273,2000,さば,山口,"4,058","1,530,795",377
274,2000,さば,徳島,"8,707","3,035,550",349
275,2000,さば,香川,28,"18,375",656
276,2000,さば,愛媛,"16,211","14,841,022",915
277,2000,さば,高知,"15,856","7,694,364",485
278,2000,さば,福岡,"12,628","4,888,801",387
279,2000,さば,長崎,"216,341","103,823,335",480
280,2000,さば,大分,"2,385","6,764,646","2,836"
281,2000,さば,鹿児島,750,"157,500",210
282,2000,さんま,北海道,"285,616","167,966,247",588
283,2000,さんま,青森,100,"65,625",656
284,2000,さんま,岩手,"190,812","102,450,812",537
285,2000,さんま,宮城,"221,579","125,028,759",564
286,2000,さんま,福島,"3,700","1,496,145",404
287,2000,さんま,千葉,"82,142","44,349,585",540
288,2000,さんま,新潟,80,"56,700",709
289,2000,さんま,石川,"2,558","1,187,235",464
290,2000,さんま,三重,"2,452","1,510,950",616
291,2000,さんま,京都,"1,920","422,100",220
292,2000,さんま,大阪,"1,200","693,000",578
293,2000,ひらめ,北海道,"21,173","37,899,994","1,790"
294,2000,ひらめ,青森,"78,214","132,336,304","1,692"
295,2000,ひらめ,岩手,"3,143","3,063,862",975
296,2000,ひらめ,宮城,"13,879","23,848,953","1,718"
297,2000,ひらめ,福島,"38,254","96,948,579","2,534"
298,2000,ひらめ,茨城,"11,344","28,504,995","2,513"
299,2000,ひらめ,埼玉,"2,056","3,045,191","1,481"
300,2000,ひらめ,千葉,"20,673","56,551,250","2,736"
301,2000,ひらめ,東京,"21,179","30,698,177","1,449"
302,2000,ひらめ,神奈川,391,"546,873","1,399"
303,2000,ひらめ,新潟,"7,252","13,970,707","1,926"
304,2000,ひらめ,富山,182,"400,589","2,201"
305,2000,ひらめ,石川,"12,948","29,994,380","2,317"
306,2000,ひらめ,福井,"3,619","9,018,077","2,492"
307,2000,ひらめ,静岡,200,"304,239","1,521"
308,2000,ひらめ,愛知,"1,142","2,766,238","2,422"
309,2000,ひらめ,三重,"29,689","73,743,531","2,484"
310,2000,ひらめ,京都,751,"841,798","1,121"
311,2000,ひらめ,大阪,"9,157","22,526,593","2,460"
312,2000,ひらめ,兵庫,27,"50,087","1,855"
313,2000,ひらめ,鳥取,"1,740","4,404,142","2,531"
314,2000,ひらめ,島根,"1,880","6,692,709","3,560"
315,2000,ひらめ,岡山,658,"1,726,455","2,624"
316,2000,ひらめ,山口,165,"531,524","3,221"
317,2000,ひらめ,徳島,568,"899,863","1,584"
318,2000,ひらめ,香川,552,"1,432,666","2,595"
319,2000,ひらめ,愛媛,"57,600","161,349,612","2,801"
320,2000,ひらめ,高知,355,"934,982","2,634"
321,2000,ひらめ,福岡,"1,266","1,656,926","1,309"
322,2000,ひらめ,長崎,"7,596","23,223,790","3,057"
323,2000,ひらめ,熊本,"3,179","8,071,780","2,539"
324,2000,ひらめ,大分,266,"887,199","3,335"
325,2000,ひらめ,宮崎,"1,134","6,063,200","5,347"
326,2000,ひらめ,鹿児島,358,"846,024","2,363"
327,2000,かれい,北海道,"603,999","270,581,886",448
328,2000,かれい,青森,"8,085","12,597,639","1,558"
329,2000,かれい,岩手,37,"62,014","1,676"
330,2000,かれい,宮城,"11,832","16,747,258","1,415"
331,2000,かれい,山形,311,"191,121",615
332,2000,かれい,福島,"7,605","7,915,081","1,041"
333,2000,かれい,茨城,15,"20,475","1,365"
334,2000,かれい,千葉,154,"69,674",452
335,2000,かれい,東京,"11,366","6,246,357",550
336,2000,かれい,新潟,"27,561","26,600,314",965
337,2000,かれい,富山,720,"582,177",809
338,2000,かれい,石川,"700,638","529,485,000",756
339,2000,かれい,福井,"50,602","35,542,227",702
340,2000,かれい,愛知,423,"202,388",478
341,2000,かれい,三重,59,"78,225","1,326"
342,2000,かれい,大阪,142,"24,917",175
343,2000,かれい,兵庫,"4,443","2,802,798",631
344,2000,かれい,和歌山,6,"3,067",511
345,2000,かれい,鳥取,"13,369","8,542,259",639
